10,0.000008
50,0.000588
100,0.003622
200,0.031714
300,0.112604
400,0.315179
500,0.600361
600,1.463896
700,2.695553
800,4.212666
900,6.007775
1000,8.197733
10,0.000009
50,0.000632
100,0.003819
200,0.026122
300,0.087705
400,0.216669
500,0.404772
600,0.692213
700,1.129893
800,1.668414
900,2.420952
1000,3.317800
10,0.000011
50,0.000520
100,0.003808
200,0.035249
300,0.111379
400,0.263754
500,0.519690
600,0.898699
700,1.593489
800,2.197663
900,3.019525
1000,3.961894
10, 0.000008
50,0.000648
100,0.004119
200,0.034640
300,0.118968
400,0.274834
500,0.554717
600,1.000647
700,1.583313
800,2.424811
900,3.398647
1000,4.573020
10,0.000009
50,0.000616
100,0.004570
200,0.041129
300,0.131821
400,0.306083
500,0.608408
600,1.085065
700,1.691552
800,2.661506
900,3.740376
1000,5.021659
10,0.000032
50,0.003486
100,0.023865
200,0.117151
300,0.417439
400,0.997950
500,2.478874
600,3.818241
700,5.158990
800,7.915369
900,10.905123
1000,14.767118
10,0.000015
50,0.002882
100,0.019235
200,0.104474
300,0.352486
400,0.868993
500,2.126333
600,2.722840
700,4.132744
800,6.425837
900,8.61840
1000,12.298262
10,0.000033
50,0.003102
100,0.019396
200,0.106885
300,0.355438
400,0.826280
500,1.678608
600,3.222125
700,5.074555
800,7.799323
900,11.183332
1000,14.440589
